Model,Gold SPACE,Pred SPACE,Count
Qwen2.5-7B,CONTRADICTED,CONTRADICTED,1544
Qwen2.5-7B,CONTRADICTED,INCOMPLETE,75
Qwen2.5-7B,CONTRADICTED,VALID,4381
Qwen2.5-7B,INCOMPLETE,CONTRADICTED,1787
Qwen2.5-7B,INCOMPLETE,INCOMPLETE,273
Qwen2.5-7B,INCOMPLETE,VALID,940
Qwen2.5-7B,VALID,CONTRADICTED,1055
Qwen2.5-7B,VALID,INCOMPLETE,73
Qwen2.5-7B,VALID,VALID,1872
Phi-4-mini,CONTRADICTED,CONTRADICTED,2089
Phi-4-mini,CONTRADICTED,INCOMPLETE,3369
Phi-4-mini,CONTRADICTED,NONE,98
Phi-4-mini,CONTRADICTED,VALID,444
Phi-4-mini,INCOMPLETE,CONTRADICTED,62
Phi-4-mini,INCOMPLETE,INCOMPLETE,1350
Phi-4-mini,INCOMPLETE,NONE,17
Phi-4-mini,INCOMPLETE,VALID,1571
Phi-4-mini,VALID,CONTRADICTED,17
Phi-4-mini,VALID,INCOMPLETE,1398
Phi-4-mini,VALID,NONE,23
Phi-4-mini,VALID,VALID,1562
