Model,Dataset,Method,N,Accuracy,Parse cov.,SPACE cov.,SPACE acc.,False commit.
Qwen2.5-7B,MedQA,Direct,5000,0.57,0.9898,0.0,0.0,0.9981
Qwen2.5-7B,MedQA,CoT,5000,0.615,0.9948,0.0,0.0,0.9979
Qwen2.5-7B,MedQA,HypMed-v3,5000,0.4596,0.9748,1.0,0.4228,0.1106
Qwen2.5-7B,MedQA,Fusion,5000,0.593,1.0,1.0,0.4228,0.1287
Qwen2.5-7B,MedMCQA,Direct,4183,0.5398,0.9919,0.0,0.0,0.9974
Qwen2.5-7B,MedMCQA,CoT,4183,0.5635,0.9983,0.0,0.0,0.9973
Qwen2.5-7B,MedMCQA,HypMed-v3,4183,0.4626,0.9778,1.0,0.6285,0.0473
Qwen2.5-7B,MedMCQA,Fusion,4183,0.5604,1.0,1.0,0.6285,0.0544
Qwen2.5-7B,PubMedQA,Direct,1000,0.747,1.0,0.0,0.0,1.0
Qwen2.5-7B,PubMedQA,CoT,1000,0.758,1.0,0.0,0.0,1.0
Qwen2.5-7B,PubMedQA,HypMed-v3,1000,0.694,1.0,1.0,0.828,0.2647
Qwen2.5-7B,PubMedQA,Fusion,1000,0.753,1.0,1.0,0.828,0.2955
Phi-4-mini,MedQA,Direct,5000,0.2252,0.428,0.0,0.0,0.7742
Phi-4-mini,MedQA,CoT,5000,0.4202,0.8112,0.0,0.0,0.9918
Phi-4-mini,MedQA,HypMed-v3,5000,0.3934,0.9016,0.9846,0.4044,0.3983
Phi-4-mini,MedQA,Fusion,5000,0.5104,0.9874,0.9846,0.4044,0.3501
Phi-4-mini,MedMCQA,Direct,4183,0.3017,0.6598,0.0,0.0,0.9439
Phi-4-mini,MedMCQA,CoT,4183,0.3732,0.7569,0.0,0.0,0.9794
Phi-4-mini,MedMCQA,HypMed-v3,4183,0.4227,0.9689,0.9952,0.5263,0.3877
Phi-4-mini,MedMCQA,Fusion,4183,0.4843,0.9978,0.9952,0.5263,0.3622
Phi-4-mini,PubMedQA,Direct,1000,0.535,0.769,0.0,0.0,0.9915
Phi-4-mini,PubMedQA,CoT,1000,0.713,0.987,0.0,0.0,1.0
Phi-4-mini,PubMedQA,HypMed-v3,1000,0.27,0.679,1.0,0.632,0.0685
Phi-4-mini,PubMedQA,Fusion,1000,0.709,0.999,1.0,0.632,0.0655
