n,dataset,model,mean_confidence,accuracy
1000,medmcqa,biomistral_biomistral_7b,0.0,0.164
1000,medmcqa,deepseek_r1_qwen_32b,0.0504,0.34
1000,medmcqa,microsoft_phi_4_mini_instruct,0.3472,0.489
1000,medmcqa,qwen2_5_7b_instruct,0.0856,0.561
1000,medqa,biomistral_biomistral_7b,0.0,0.17
1000,medqa,deepseek_r1_qwen_32b,0.0132,0.255
1000,medqa,microsoft_phi_4_mini_instruct,0.3234,0.517
1000,medqa,qwen2_5_7b_instruct,0.1763,0.596
1000,pubmedqa,biomistral_biomistral_7b,0.0,0.058
1000,pubmedqa,deepseek_r1_qwen_32b,0.0,0.568
1000,pubmedqa,microsoft_phi_4_mini_instruct,0.7362,0.724
1000,pubmedqa,qwen2_5_7b_instruct,0.1444,0.753
