model,fallback_order,n,parse_coverage,accuracy
microsoft_phi_4_mini_instruct,direct>cot>hypothesismed_v3,3000,0.9913,0.5767
microsoft_phi_4_mini_instruct,cot>direct>hypothesismed_v3,3000,0.9913,0.5743
microsoft_phi_4_mini_instruct,cot>hypothesismed_v3>direct,3000,0.9913,0.569
microsoft_phi_4_mini_instruct,direct>hypothesismed_v3>cot,3000,0.9913,0.555
microsoft_phi_4_mini_instruct,hypothesismed_v3>cot>direct,3000,0.9913,0.546
microsoft_phi_4_mini_instruct,hypothesismed_v3>direct>cot,3000,0.9913,0.5447
qwen2_5_7b_instruct,direct>cot>hypothesismed_v3,3000,1.0,0.6367
qwen2_5_7b_instruct,cot>direct>hypothesismed_v3,3000,1.0,0.6363
qwen2_5_7b_instruct,cot>hypothesismed_v3>direct,3000,1.0,0.6343
qwen2_5_7b_instruct,direct>hypothesismed_v3>cot,3000,1.0,0.6267
qwen2_5_7b_instruct,hypothesismed_v3>cot>direct,3000,1.0,0.622
qwen2_5_7b_instruct,hypothesismed_v3>direct>cot,3000,1.0,0.6203
